id,Name,Description,State,DefaultAction,Role,visible,is_keyboard_focusable,Control_Type,Top Position,Left Position,Length,Height,Area,has_children,has_invoke,has_selection,has_expand,has_selection_item,has_toggle,has_text,has_value,has_range_value,has_grid,has_grid_item,has_table,has_table_item,has_scroll_item,has_scroll,has_transform,has_transformV2,has_window,has_item_container,has_virtualized_item,IsMenu
2-1729-1017-1919-1039,,,1048576,,10,True,True,Pane,1025,1737,190,22 ,4180,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-0-1016-1691-1040,,,0,,41,True,False,Text,1024,8,1691,24 ,40584,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-1693-1016-1722-1040,,,0,,41,True,False,Text,1024,1701,29,24 ,696,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-1724-1016-1920-1040, ,,0,,41,True,False,Text,1024,1732,196,24 ,4704,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-0-0-22-22,System,Contains commands to manipulate the window,1048576,,2,True,True,MenuBar,8,8,22,22 ,484,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-1779-8-1826-22,Minimize,Moves the window out of the way,0,Press,43,True,False,Button,16,1787,47,14 ,658,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-1826-8-1872-22,Restore,Puts a minimized or maximized window back to normal,0,Press,43,True,False,Button,16,1834,46,14 ,644,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-1872-8-1928-22,Close,Closes the window,0,Press,43,True,False,Button,16,1880,56,14 ,784,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-0-23-1920-139,Ribbon,,1048576,,10,True,True,Pane,31,8,1920,116 ,222720,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3-1731-1017-1771-1039,100%,,64,,41,True,False,Text,1025,1739,40,22 ,880,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3-1775-1017-1797-1039,-,,1048576,Press,43,True,True,Button,1025,1783,22,22 ,484,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-1797-1017-1897-1039,Zoom Slider,,1048576,,51,True,True,Slider,1025,1805,100,22 ,2200,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3-1897-1017-1919-1039,+,,1048576,Press,43,True,True,Button,1025,1905,22,22 ,484,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-0-0-22-22,System,,1074790400,Open,12,True,True,MenuItem,8,8,22,22 ,484,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4-0-23-1920-170,,,1048576,,10,True,True,Pane,31,8,1920,147 ,282240,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4-1804-1025-1842-1029,Page left,,0,Press,43,True,False,Button,1033,1812,38,4 ,152,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4-1842-1019-1852-1037,Position,,0,,39,True,False,Thumb,1027,1850,10,18 ,180,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4-1852-1025-1889-1029,Page right,,0,Press,43,True,False,Button,1033,1860,37,4 ,148,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5-0--8-1920-139,Ribbon,,0,,38,True,False,Pane,0,8,1920,147 ,282240,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6-30-1-96-23,Quick Access Toolbar,,0,Press,22,True,False,ToolBar,9,38,66,22 ,1452,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6-97-1-110-23,Customize Quick Access Toolbar,,1048576,Press,43,True,True,Button,9,105,13,22 ,286,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6-0-23-56-46,File tab,Click here to open save or print and to see everything else you can do with your document.,1074790400,Press,58,True,True,Button,31,8,56,23 ,1288,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6-56-23-1876-46,Ribbon tabs,,0,,60,True,False,Tab,31,64,1820,23 ,41860,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6-1876-23-1898-45,Minimize the Ribbon,Show only the tab names on the Ribbon.,1048576,Press,43,True,True,Button,31,1884,22,22 ,484,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6-1898-23-1920-45,Help,Get help using WordPad.,1048576,Press,43,True,True,Button,31,1906,22,22 ,484,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6-0-46-1920-139,Lower Ribbon,,0,,16,True,False,Pane,54,8,1920,93 ,178560,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7-30--1-52-23,Save,Save the active document.,1048576,Press,43,True,True,Button,7,38,22,24 ,528,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7-52--1-74-23,Undo,Reverses the last action.,1048577,Press,43,True,True,Button,7,60,22,24 ,528,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7-74--1-96-23,Redo,Repeats the last action.,1048577,Press,43,True,True,Button,7,82,22,24 ,528,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
